User,User Age,User Barangay,User Gender,Responses
178,39,409,F,linisin ang mga kanal at siguraduhing walang baha. mag coordinate sa barangay kung ano ang dapat gawin kung may sakuna (e.g. tamang panahon ng paglikas). laging maging handa ang pamilya sa maaring paglikas - mga gamit na dapat dalhin. malinaw na komunikasyon kung ano ang dapat gawin kung saan lilikas at magkita kita.
176,62,Barangay 409,F,Maghanda ng mga gamit para kapag may sakuna ay may nakahanda ka na agad. Itapon ang mga basura sa tamang lugar para hindi magbara ang kanal.
181,53,409,F,magkaisa ang mga tao sa barangay para sa kung anumang sakunang dumating ay handa ang lahat.
186,60,409,M,Laging paalalahanan ng barangay ang mga constituents bago dumating ang isang kalamidad.
183,76,409,F,ayusin ang patakaran ng barangay (e.g.mas mabilis ang pagbibigay ng pagkain at tubig tuwing may sakuna)
182,82,409,F,Magkaroon ng isang speaker na maiaannounce ang balita sa buong barangay.
187,21,409,F,Magkaroon pa ng mas madaming disaster drill.
185,48,Barangay 409,F,Mas epektibong pasabi ng barangay sa mga paparating na sakuna.
188,38,411,F,"karagdagang kagamitan sa brgy para sa disaster gaya ng disaster kit, megaphone, at iba pa. Karagdagang community volunteers bilang suporta sa barangay."
189,71,"Barangay 409, Zone 42, Sampaloc, Manila",M,dapat masigurado ang kalinisan ng ating mga kanal; kailangan ng maayos na waste dsiposal; ilabas lamang ang basura pag dumating na ang truck na tagahakot; at higit sa lahat kailangan magtulungan ang mga ka-barangay
190,52,409,M,Laging nakatuon sa weather forecast para malaman kung ano man ang panahon.
191,66,409,M,"Habang wala pa ang kalamidad, dapat ay nakahanda ang mga nasasakupang barangay."
193,76,409,F,linisin ang kanal.
192,65,Barangay 409,F,Pagtawag sa mga anak ni Chairman sa kung ano ang kailangan pa ng tahanan.
194,69,409,F,Basta gawin ng barangay ang trabaho nila
197,34,409,F,linisin ang lahat ng kanal at wastong pagtatapon ng basura.
196,47,"1333 Lardizabal St., Brgy 409, Sampaloc, Manila",M,magbibigay ng mga babala at impormasyon sa bawat kabahayan para mabigyan kami ng impormasyon tungkol parating na mga sakuna;
402,23,Sampaloc,M,Fghjjf 
403,33,325,M,Barangay don't know include the PWD. Barangay not teach how to safety
404,10,412,M,hello joyce
436,28,Brgy. 50,M,Bilisan ang clean up sa mga lansangan
445,22,Liloan,M,Collaborate with people. And proper information dissemination.
448,19,Lapu-lapu,M,Put up loud sirens that would alert citizens for disasters drills or actual disaster scenarios.
447,20,Guadalupe,M,"Instead of seminars and manual printing of warnings (door to door) for disaster awareness, it would be better to take advantage of technological gadgets like mobile devices and even social medias to fully maximize information dissemination."
449,19,"Basak, lapu-lapu city",M,Gumawa ng organisasyon na magtutulongan para sa paglilinis ng barangay 
450,19,Poblacion,M,Regularly clean canals and monitor garbage collection
452,20,Babag 1,M,Early warning signal
451,21,Casuntingan Cebu,M,Organize frequent events or activities concerning disaster preparedness
453,20,Basak San nicolas,M,Clean drainage regularly
455,21,Pusok,M,Implement an SMS Information Dissimination System for disaster events.
456,21,Agus,M,Organize disaster drills
459,20,Banilad,M,Disaster risk seminars
461,20,"Medallion,cebu",M,Prepare emergency supplies
460,22,"CONSOLACION, CEBU",M,Dapat lahat ng mamamayan nang isang barangay o kumonidad ay ma-inform nang maayos tungkol sa paparating na dilubyo. Upang sila ay makapaghanda ng mabuti kung ano ang dapat nilang gawin.
464,21,"Duterte Suba, Danao City",M,Free food supplies.
465,19,Kamputhaw,M,Improve the drainage system.
463,20,Dakutan,M,Help each other. Respect each other.
467,20,Pusok lapu-lapu city cebu,M,Strongly enforce the laws of not throwing trash anywhere
468,20,"Alang-alang Mandaue, Cebu City",M,Implement a better notification system regarding of the upcoming disaster.
466,19,Nasipit talisman cebu,M,Prepare a place for evacuees
472,20,Alang alang Mandaue Cebu City,M,Implement a notification system for any upcoming disaster
470,19,"Inayawan, Cebu City",M,Doing weekly check up on flood prone areas and community general cleaning
469,19,Banawa,M,Have strict rules in garbage segregation
474,20,"Talamban, Cebu City",M,The barangay government workers should roam around the barangay and do announcements via megaphones.
473,18,"Mojon, Bantayan,Cebu",M,Inform them what would be the consequence of not preparing or not evacuating before the typhoon. :)
475,19,ZAPATERA CEBU CITY,M,Improving imformation dissemenation within the barangay
476,18,"Mojon,Bantayan, Cebu ",M,Inform the people the consequences of not preparing and/or not preparing before typhoon. 
479,20,"Talamban, Cebu City",M,The barangay government workers should roam around the barangay and do announcements via megaphones.
480,18,Nasipit,M,Have emergency supplies and medicine
482,19,Gun-ob,M,Clean up the streets to lessen probability of flood
483,19,Pakna-an,M,By being alerg
484,19,Sambag 2 Cebu City,M,By providing a designated shelter/area for different families/cluster.
491,19,Talamban,M,Make an announcement earlier
490,19,"Kasambagan, cebu city",M,Provide food and supplies to those that are in need.
492,23,Talamban,M,"Improved communication and faster response of the public civil workers to minimize theft or lawlessness in general. This can be done through better training among people of the Barangay. We have the technology to do so, but we lack the discipline."
493,18,Tipolo,M,"Force training on proper disposing of garbages and basic survival skills in the presence of disaster
"
494,19,Busay,M,Have sirens and an adequate evacuation center(an armed forces e.g. turrets)
495,19,Capitol Site,M,Actually appropriate funds in case of disasters instead of putting them in their pockets
497,19,Zapatera,M,Begin by fixing the drainage system
496,19,Guadalupe,M,Better planning and more advanced warning 
498,19,Capitol Site,M,Actually appropriate funds instead of putting it in their pockets
504,20,Talamban Cebu,F,Help others when in need.
505,18,Tina-an Naga Cebu City,F,Constantly remind citizens via minimalist posters of what they should do during one of these disasters.
506,18,"Poblacion, Dalaguete, Cebu",F,To implement disaster drills in our barangay and be more cautious about the possibilities that may cause damage in our place.
509,20,Talisman Cebu City,F,"Warn people ahead of time, so they can prepare."
507,21,Jagobiao Mandaue City Cebu,F,Palaging makinig o manood ng balita para malaman kung ano ang kalagayan ng panahon o kung may bagyo ba sa lugar niyo.
508,19,Talamban,F,Always be updated with the news and wait for the disaster measures in your barangay.
510,19,"Tungkop, Minglanilla Cebu",F,Announcement of a disaster should be early as possible to have a plenty of time to prepare.
511,18,"Nasipit, Mandaue City",F,"Public orientations for citizens on how to respond and act in calamities, especially in terms of staying in touch with family members and emergency supplies at home."
512,18,"Basak, Mandaue, Cebu",F,"Install better drainage systems and implement more effective cleaning programs to ensure the continuous flow of drainage systems during typhoons and floods. Also, inform the citizens periodically about the current state of the weather and the barangay through public announcements (i.e. barangay meetings, text messaging, social media, etc.)"
514,18,Talamban,F,The barangay must have a general assembly twice or thrice a month to gather the citizens and educate them what to do when a disaster is coming and the barangay must have a Disaster Drill once every two or three months.
513,18,"Solong-on,Dalaguete,Cebu",F,"I wasn't able to participate in a drill in my barangay, there hasn't been one and having them would be a great help."
515,37,"BULACAO PARDO 
",F,timely information dissemination
516,34,"Capitol Area, Cebu City",M,Government should require at least 1 or 2 family member/s to join seminar on how to be prepared when calamities occur.
521,20,"Jagobiao, Mandaue City",F,Create a designated evacuation area 
520,18,Abuno,F,Early warning and providing safety places for people to evacuate when needed. They need to distribute necessary supplies needed before the disaster especially to those in need
522,18,Guadalupe,F,The barangay should hold up a place or setting within the brgy where citizens can gather in times of floods and typhoons 
523,18,Casuntingan,F,It would be helpful for the community to be informed beforehand of a coming disaster and to prepare our community for coming flash floods and an evacuation center or area prepared.
524,18,"Tayud, Liloan",F,Announcing it ahead of time around the community or request for a local message to be spread about the incoming disaster
527,19,Nasipit,F,Disaster risk seminar
526,19,Talamban,F,By having boats and back up funds for things in case of calamities and have better equipment to know in advance what weather will be
525,18,Pardo,F,Have a warning sign if there will be a disaster will occur and a prepared emergency supplies if anything will happen.
531,19,Talamban,F,Have extra funds and materialsnon stand by for cslamities and warn more effectively
530,21,Cebu City,F,Use the social media effectively in order to be aware ahead of time of the disasters.
529,20,Cebu city,F,The people should also be alert and prepared. And not depend only on the officials.
528,23,"Estaca, Compostela, Cebu",F,I will be more responsive not just minding myself but also to update all
533,34,"Mandaue, cebu city",F,Provide seminars and better utilities and mechanism to be prepared. I dont think my barangay is ready for any disaster
536,21,Mabolo,F,Dapat ay lagi tayong maghanda at makinig ng balita
537,20,"Tisa, Cebu City",F,By giving us disaster drill
532,18,Talamban,F,Dapat palagi silang magchechek-up tuwing may mga disaster sa aming kumunidad.
535,18,Talamban Cebu City,F,"The barangay should help clean the disasters right after the typhoon, not after how many months or years."
539,23,Gun-OB,F,By helping each other
540,19,"Mantuyong mandaue city,cebu",F,Disaster seminar on how to be prepared in times of calamities.
543,18,Calawisan lapu lapu city cebu,M,Watch the weather forecast to know what the weather is going to be for the week
541,18,"Lahug, Cebu City",F,I think we should organize a meeting on all home owners in the community. Maybe once a month we should gather around and share ideas on how to help anothet or how to be prepared.
542,18,Cabancalan,F,The barangay should always check and remind us to be in prepared for the coming of the typhoon.
544,19,"Talamban, Cebu City",M,Give seminar to the people every month
546,18,"Lahug, Cebu City",F,Gather all home ownerd for a safety guideline. And exchanging of idras.
545,20,Pusok Lapu-Lapu City,F,Magtulong2 at maging handa sa lahat upang makaiwas sa kalamidad
548,18,PAJAC,M,Secure the drainage
538,21,"Nangka, Consolacion, Cebu City",F,The local government must be appropriately funded for disasters and calamities. They should raise awareness in their area and conduct drills regularly so that the people are properly prepared along with the help of public posts and guidelines for calamities. Another thing is to upgrade the facilities and equipment of these organizations to be more effective and efficient. It would be best to install a PublicSoundNotifSystem in each barangay of a municipality to cover more rural areas.
549,19,"Nasipit, Talamban, Cebu",F,Galingan gid sa early warning system
551,20,Cubacub Mandaue City Cebu 6014,F,Linisin ang kapaligiran especially ang mga canal at dapat siguraduhin na may evacuation center para sa mga nabahaan.
552,20,Punta Princesa,F,Being helpful to each other especially during a disaster. Share what you have and what you can especially those important announcements.
550,20,"Paknaan, Mandaue City-Cebu ",F,Be keen on the happenings in the environment and listen to the radio regarding the weather condition especially during on weathers' like low pressure days or weeks.
554,21,"Ibabao, cebu city",F,Prepare evacuation area and disseminate an evacuation plan to everyone in the barangay as early as possible.
553,19,Labangon cebu,F,"Our barangay could help better prepare for a disaster by initiating seminars about how to prepare for a disaster , in this way, the constituents would be informed ahead of time so that when disaster comes, the people would know what to do and avoid panicking."
555,19,Zone Sikwa Paknaan,F,"Make the barangay gym ready for evacuation and have supplies like food, blankets, etc available for the evacuees"
556,18,"Sambag 2, cebu city",M,By reaching out to us even though there is troubles or not
557,20,"Talamban,Cebu City",M,Maghawak kamay at pray
558,18,NASIPIT,M,Gather all the cellphone numbers of the local people
562,17,Jugan,M,"Plan a safe place to evacuate. When the typhoon comes, you will not be a liability to the rescue team."
566,18,Nasipit,M,Gather all their cellphone number then by texting them to be aware if there is
561,18,"Lengigon, Argao",F,By telling people to be ready for the coming typhoon for the safety of all.
565,18,"Valladolid , Carcar City,Cebu",F,The barangay should have disaster informative vehicles with built in speakers that will drive around the barangay days before predictable natural disasters like typhoon hits. Announcing to the people to be prepared and to be safe.
567,19,"Pajo, Lapu-Lapu City",F,Educate the people to throw their garbages properly to avoid floods
568,18,"Barangay Nangka, Consolacion Cebu",M,Put posters or signage that informs people the steps on how to save themselves in disasters or calamities.
569,27,Lamac Consolacion Cebu,F,Alarm System and Disaster Management Information System
570,28,Talamban,F,Maybe the barangay can give a mandatory seminar inviting at least one representative of each household.
571,27,Lamac Consolacion Cebu,F,Alarm System amd Disaster risk management system
573,-1,,,Safe Zones or areas where people can stay when an assured disaster will happen in their area
578,19,Adelina st.samploc manila,M,HENever seen to experience typhoon disaster
581,39,1503 P. Guevarra st. Sta. Cruz manila ,F,"That is great. Basic only, they dont know what is question."
583,19,Adelina st. Samploc manila,M,Not yet some help to me nothimg yet never aware too..
580,23,20,M,I because like people maybe hard don't know have help pls deaf ( train deaf emergency responders who can communicate easily with deaf citizens in their barangay. Difficult for deaf people to communicate with hearing responders who cannot sign).
584,22,34,M,I because like me help never yet better how learing teach
585,21,21,M,I because has help please what happen people i respect hard it
586,-1,"1856 sulu st.sta.cruz,manila",F,By texting fhe barangay community to inform helping the typhoon preparedness disaster.
588,21,21,M,I because a help pls this hard i respect like your what happens
587,18,1025,M,Because of please help people your other okay fine
589,22,GERONA STREET,M,Barangay should be an aware of their survive after typhoon is coming out that we making a prepare it for our family or residents who those are my neighborhoods and we are awaring of what we did.
590,-1,1843 e ibarra st samp,F,By calling the barangay community to suggest helping the typhoon amd flood in the preparedness disaster.
592,22,Gerona,M,Barangay should be an aware of their support for our neighborhood who their no food or no thing that they can't making it survive for them. And we need to be survive life before typhoon is comimg out.
591,21,36,M,I will to want in the barangay help you better any want all to me make help your world
594,22,"710 Int. 12 Pres. Quirino Ave, Malate Manila",F,I want barangay will still working hard to check as watcg out in every time as ask the people what needs more.
595,38,"2318 agua marina st.  San andres bukid, manila",F,Barangry not help  people and deaf community...
596,39,323-32 guevarra st. Sta. Cruz manila,F,Fix the drainage system so our area will not be flooded and garbage from the creeks will not overflow.
617,21,608,M,Bili lagi ng sobrang pagkain after the warning signal.
660,18,Tabun,F,There should be an evacuation plan for the whole barangay.
668,17,413,M,Makakatulong ang aming barangay kung magkakaroon buwan buwan ng drill sa mga sakuna
668,17,413,M,Makakatulong ang aming barangay kung magkakaroon buwan buwan ng drill sa mga sakuna
681,18,619,M,By having a meeting for disaster purpose
679,20,San Juan,M,"Have a prepared evacuation place which contains prepared food, electricity and water incase of shortage"
662,18,barangay 438 sampaloc manila.,M,By giving disaster drill once a month
680,18,Marilag,M,Various SAR eqiupments and QRT 24/7
682,18,Brgy.San andres,M,"Like having Drills and Discussion, since we have a place for meetings it would be helpful if they provide drills"
686,18,Palatiw,M,Evacuation plan for the whole barangay
676,19,"Brgy.Harapin Ang Bukas,Mandaluyong City",M,Magkaroon ng seminar para malaman ng mga tao kung ano ang dapat gawin sa oras ng sakuna
665,17,brgy. 407 sampaloc manila,F,Mag conduct ng seminar and drills sa mga nasasakupan nila lalo na sa mga kabataan
664,18,Dolore,M,To respond fast emergency
663,18,Brgy. 579,M,"Make sure that the Officials are doing well, to inform all of the people who surrounds them so that no one will hurt and suffer during typhoon or whatever bad things will happen to the community."
671,18,"Manggahan, Pasig",F,Conducting seminars for Disaster Preparedness and occassional drills.
667,18,Barangay 600 Sta. Mesa Manila,M,"Dapat ay ipaalam ni la sa kanilang nasasakupan na may paparating na sa kuna sa pamamagitan ng paganunsyo kung ano na ang estado ng bagyo halimabwa ay kung signal 1 ,2 ,3 or 4. at kailangan ay may mga nakahandang relief goods para handa sa anumang sakuna"
672,18,"alapan, imus cavite",M,Dapat magkaroon ng palagiang seminar upang maging handa ang mga tao sa nasaabing lugar o pinamumunuang barangay
677,18,Brgy 402,M,Have a map of the barangay that indicates the altitude to know which part will be flooded first.
666,18,brgy. 598,F,"Dapat wag tayong umasa masyado sa mga barangay, dapat maging aware din tayo sa mga nangyayari sa paligid natin"
669,18,san manuel,F,cooperation of barangays and individuals
683,19,Dela Paz,M,By giving knowlegde what to do when there is disaster
678,18,soccoro,M,Dapat ang barangay ay magpadala ng mga tao para tignan at tulungan ang mga nangangailangan pagkatapos ng bagyo
688,18,PASADENA,M,BY INFORMING  THE WHO;E SITIO AND WHERE TO GO IN CALAMITIES
698,20,,M,More programs that would help families in a barangay community be ready for an unexpected typhoon or natural calamities
713,19,fairview,M,proper orientation of disaster prevention and alertness and common sense. 
697,17,Kamuning,M,Teach basic stuffs about survival and first aid
704,21,136,M,Proper announcement and complete disaster prevention/management materials in the barangay
695,21,98,M,Enlighten people about the effects of typhoons and how to prepare for it when it comes
696,18,brgy. sto. domingo,M,early warning of disaster and provide a evacuation center
702,20,552,M,Have an SMS alert when there is a disaster
725,26,sampaloc ,M,always ready
718,17,manila,F,mas mabuting magtulong tulungan upang maka-ahon agad sa disaster ang mga nabiktima. hindi dapat sarili lamang ang iniisip
700,20,Baranggay 415 Manrique St.,M,Inform the residents.
720,20,balic balic,M,just watch the weather news daily
726,21,Sta. Teresita,F,Regular local disaster drills (quarterly or even monthly)
760,21,Talipapa,F,No idea.
750,19,Brgy. Pag-asa,F,Ayusin ang mga kanal
766,22,420,M,they should be always be prepared on things that might be happening
783,20,Dela paz,F,The barangay should be more active on disaster preparedness programs 
784,18,400,M,Be more aware and let the constituents updated as always
786,-1,,,Laging mag participate sa mga drills para maging handa sa lahat ng disaster na pwedeng dumating at hindi mapahamak
798,20,471,F,Awareness of every community around them by announcing latest news and what are happening around them.
799,19,Blue Ridge B,M,Bymeans of conducting seminars
804,20,523 zone 52,M,TAPAT MO LINIS MO
805,18,Pinagsama,M,Helping each other
821,20,San isidro,M,Build a particular place that will serve as a place for people who suffered extremely from typhoons or any disaster because schools and churches are not always in good condition
821,20,San isidro,M,Build a particular place that will serve as a place for people who suffered extremely from typhoons or any disaster because schools and churches are not always in good condition
822,18,513,M,Laging magpasagawa ng mga disaster drill upang maging alerto ang mga mamamayan sa kung anu mang pwedeng mangyari. Magpatayo ng evacuation center upang kung sakaling tamaan ng sakuna ay may mga pwedeng puntahan ang mga tao.
820,20,"Medicion 2A Imus, Cavite",F,Don't easily give permission to let other people build houses near and on rivers to prevent flashfloods.
824,19,Brgy 449,M,Each family should have a representative if thers a meeting or seminar im baranggay.
826,19,San rafael,M,No comment
828,20,San isidro,M,Build a particular place for victims of disaster because schools and churvhes are not always in good condition
852,19,555,M,Magtulungan
844,19,sampaloc,M,mag malasakit
849,20,56 dagupan,M,Teach civilians first aid
836,19,Masagana,M,Have a monthly check of the citizen if they already have the emergency needs and teach the citizen of the barangay of a proper way to handle a emergency situations
853,16,Barangay 402,M,Have each barangay do a first aid for those who's injured after the typhoon.
838,21,185,M,Announcement of incoming disasters
840,17,"San Andres Cainta, Rizal",M,"Kailangan laging maging handa ang mga barangay, lalo na sa mga supplies/ relief goods para sa mga nasalanta ng trahedya.
"
831,23,"Brgy 1912 Mithi Street Sta. Mesa, Manila",M,You should be prepared for the flood and help each other when the time comes. Prepare can foods for the time being.
862,23,513,M,Early notification for upcoming disaster
863,20,445 zone 45,F,Tell the information like the evacuation center before the disaster
867,22,Bahay toro,M,Matutong mag malasakit
868,20,Niugan,F,Provide first aid kits
865,25,447,M,By preparing.
861,20,407,F,Teach them on how to be preapared when disaster is come.
866,20,407,F,The barangay must have monthly training that afformentioned the problems encounter during and after the disaster
873,-1,,,By preparing
864,20,420,M,It always warn us if there is a storm. Hindi sila nagkulang sa pagbibigay babala
871,20,441,F,Updated palagi. At dapat lagi handa
878,20,409,M,By giving out announcements everyday to alert its people
869,22,"Brgy. Pineda, Pasig City",M,By being a volunteer
881,18,410,,Water is wet
870,21,447,M,Dahil sa pag lagay ng aming barangay ng mga megaphone sa bawat kanto ng aming barangay inaasahan kong magamit sana ito sa pag bigay anunsyo kung sakaling may sakunang darating at ma gamit din ito sa pag bigay ng tulong kung sakali
875,20,Brgy. San Martin De Porres,M,By conducting monthly seminars to people and by having some drills like earthquake and fire
872,21,615,M,Should have very active barangay officials and conduct disaster drill seminars
874,22,315,M,By having a personnel assigned to monitor Weather news or social networking media.
880,20,Immaculate concepcion,M,Always prepare
876,20,527,M,Make an evacuation center 
884,19,Laging handa,M,Mas maagang announcement if ever meron
879,20,409,F,By alerting its people
877,20,602,M,Dirlls
883,19,453,M,By texting each person or call them immediately
882,21,1 sto.tomas batangas,M,Always have a first aid kit and place where can the needy will stay if needed. 
885,19,49Tirad pass st. Sto.domingo quezon city,M,Tumulong sa kagamitan panglinis para pag dumating ang kalamidad maging handa
901,20,,M,"Bumuo ng emergency plan(San pupunta sa oras ng kalamidad, san dadaan at iba pa) para sa buong barangay at magturo ng first aid sa lahat ng nasasakupan"
919,20,409 sampaloc,M,"Instead of having a yoga class every afternoon, focus on having a seminar about important matters."
915,18,539,M,Put garbage can in corner of the streets in order to lessen the garbage in the street.
920,20,408 jhocson,M,by simple watching news television or radio four us to be prepared for incoming disaster .
945,18,"Brgy. Old Balara, Quezon City",M,"Baranggay offficials or local goverment should be hands-on in the evacuation even before, during, and after calamities or disasters."
942,17,Payatas,F,Dapat ang mga barangay ay magakaroon ng sapat na pondo at dapat ang mga tao din sa barangay ay aware sa disaster preparedness at alam ang mga gagawin para mas madaling naimplement ang mga programang ganito.
946,21,735,M,Isa sa maitutulong ko para sa barangay namin ay ang pagkukusa na ipamahagi ang aking nakalap na impormasyon o prevention sa maaaring mangyaring sakuna. 
947,19,566,F,"Provide the needs of the community.
Remind the community members in preparing for a disaster."
948,19,Obrero,F,"Panatilihing malinis ang kapaligiran upang hindi pagsanhian ng baha, nagtulung na pagandahin nga kapaligiran."
949,20,121,F,Siguro po mag conduct sila ng mga seminar at tsaka magkaron sila ng mga organisasyon para sa mga gusto mag volunteer
953,17,704,F,The barangay officers should always be active when it comes to this situation.
952,17,434,M,Early announcements
955,20,P.noval,F,Proper communication
950,18,San isidro,M,Early alarm when there is a disaster.
951,18,Fairview,F,Make sure that all the people are aware if there is a disaster
954,18,Marilag,M,Always be aware for the incoming disaster. 
956,18,"San Juan, Batangas",F,Early announcement and early evacuation of the people in the community could help. 
957,18,704,M,Be safe 
958,18,Batasan,M,Guide the community in doing a meeting that talks about the safety and awarenes if disaster will come.
960,17,739,F,Through seminars I think.
964,18,169,F,Provide enough supply of foods and other necessities for families who cannot afford to buy some.
961,18,San Jose,F,I think by conducting seminars and programs about the different disaster preparations.
967,18,,M,Provide safety gears (ex. Boat) and first aid to help the people in the barangay recover and rescue immediately.
966,18,"Brg. Malamig, Bustos, Bulacan",F,Dabihin ng mas maaga
